,parameter,rmse,model
68,"{'changepoint_prior_scale': 1.2569288044324363, 'changepoint_range': 0.517283933641296, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.24902725798858902}",430.43266031551525,Prophet
69,"{'changepoint_prior_scale': 1.7019479456693922, 'changepoint_range': 0.5239534655110135, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 49, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5983779603700659}",350.1909567608793,Prophet
70,"{'changepoint_prior_scale': 0.5715212026732921, 'changepoint_range': 0.5287440413607194, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5019887199252789}",434.40884048721796,Prophet
71,"{'changepoint_prior_scale': 0.8178472816514334, 'changepoint_range': 0.5056968339705938, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5640464260965713}",350.48096647402053,Prophet
72,"{'changepoint_prior_scale': 2.0649739911457528, 'changepoint_range': 0.5413932073982635, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.44662726985871165}",356.0762915003608,Prophet
73,"{'changepoint_prior_scale': 1.1007287432767336, 'changepoint_range': 0.5326240579104693, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.7881462388706592}",351.2957397715694,Prophet
74,"{'changepoint_prior_scale': 2.084686471584556, 'changepoint_range': 0.5204847287567408, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 49, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.43352541338514256}",415.1498868744767,Prophet
75,"{'changepoint_prior_scale': 1.140704821528264, 'changepoint_range': 0.5267781213014735, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.8445745908539593}",350.68828511228463,Prophet
76,"{'changepoint_prior_scale': 1.4628601404343362, 'changepoint_range': 0.5273616280499359, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.48224923519400903}",350.7263242013716,Prophet
77,"{'changepoint_prior_scale': 0.7688472240119034, 'changepoint_range': 0.5017974033916435, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4072016046974146}",350.7584009069467,Prophet
78,"{'changepoint_prior_scale': 0.8764398802240868, 'changepoint_range': 0.5318168199158365, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.48320968707427003}",351.4563044739305,Prophet
79,"{'changepoint_prior_scale': 1.5545463117683613, 'changepoint_range': 0.5300517671955025, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.36074247697305545}",352.387776595535,Prophet
80,"{'changepoint_prior_scale': 2.097370632738842, 'changepoint_range': 0.5439789480949673, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 49, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.7563451991273469}",354.91831643473,Prophet
81,"{'changepoint_prior_scale': 1.4590205593564043, 'changepoint_range': 0.5318743768859387, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.46900078566949155}",351.8878338267963,Prophet
82,"{'changepoint_prior_scale': 2.1216069624856315, 'changepoint_range': 0.5055626881298845, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 46, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4429720655418404}",350.353507776322,Prophet
83,"{'changepoint_prior_scale': 2.109682295156836, 'changepoint_range': 0.5050121875652455, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.44911216108006324}",350.17839202715936,Prophet
84,"{'changepoint_prior_scale': 1.6364462854140842, 'changepoint_range': 0.5298098696371201, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5126043892749811}",351.2416442985237,Prophet
85,"{'changepoint_prior_scale': 0.943138341252033, 'changepoint_range': 0.5080347486693266, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.42762832643646953}",350.07030726106444,Prophet
86,"{'changepoint_prior_scale': 1.978872957324147, 'changepoint_range': 0.5329274120074418, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3200926792139046}",355.688508408777,Prophet
