ts,value
2021-12-30 06:00:00,405248.0
2021-12-30 06:30:00,397440.0
2021-12-30 07:00:00,399616.0
2021-12-30 07:30:00,401536.0
2021-12-30 08:00:00,404160.0
2021-12-30 08:30:00,402752.0
2021-12-30 09:00:00,398464.0
2021-12-30 09:30:00,397312.0
2021-12-30 10:00:00,387840.0
2021-12-30 10:30:00,393600.0
2021-12-30 11:00:00,396608.0
2021-12-30 11:30:00,363776.0
2021-12-30 12:00:00,355328.0
2021-12-30 12:30:00,351744.0
2021-12-30 13:00:00,349440.0
2021-12-30 13:30:00,315136.0
2021-12-30 14:00:00,-215616.0
2021-12-30 14:30:00,801088.0
2021-12-30 15:00:00,277248.0
2021-12-30 15:30:00,279552.0
2021-12-30 16:00:00,280064.0
2021-12-30 16:30:00,272384.0
2021-12-30 17:00:00,271872.0
2021-12-30 17:30:00,271360.0
2021-12-30 18:00:00,269056.0
2021-12-30 18:30:00,262912.0
2021-12-30 19:00:00,263680.0
2021-12-30 19:30:00,265984.0
2021-12-30 20:00:00,270336.0
2021-12-30 20:30:00,261888.0
2021-12-30 21:00:00,266240.0
2021-12-30 21:30:00,270848.0
2021-12-30 22:00:00,267008.0
2021-12-30 22:30:00,282624.0
2021-12-30 23:00:00,295424.0
2021-12-30 23:30:00,366144.0
2021-12-31 00:00:00,385792.0
2021-12-31 00:30:00,391808.0
2021-12-31 01:00:00,393216.0
2021-12-31 01:30:00,394688.0
2021-12-31 02:00:00,400768.0
2021-12-31 02:30:00,399360.0
2021-12-31 03:00:00,391488.0
2021-12-31 03:30:00,391936.0
2021-12-31 04:00:00,390784.0
2021-12-31 04:30:00,395392.0
2021-12-31 05:00:00,384640.0
2021-12-31 05:30:00,385728.0
2021-12-31 06:00:00,385280.0
2021-12-31 06:30:00,387072.0
2021-12-31 07:00:00,390464.0
2021-12-31 07:30:00,381248.0
2021-12-31 08:00:00,382720.0
2021-12-31 08:30:00,385152.0
2021-12-31 09:00:00,389056.0
2021-12-31 09:30:00,387520.0
2021-12-31 10:00:00,385024.0
2021-12-31 10:30:00,381056.0
2021-12-31 11:00:00,388800.0
2021-12-31 11:30:00,355328.0
2021-12-31 12:00:00,353792.0
2021-12-31 12:30:00,354560.0
2021-12-31 13:00:00,348160.0
2021-12-31 13:30:00,316928.0
2021-12-31 14:00:00,300288.0
2021-12-31 14:30:00,280320.0
2021-12-31 15:00:00,275456.0
2021-12-31 15:30:00,280320.0
2021-12-31 16:00:00,280576.0
2021-12-31 16:30:00,270080.0
2021-12-31 17:00:00,268032.0
2021-12-31 17:30:00,262912.0
2021-12-31 18:00:00,268032.0
2021-12-31 18:30:00,263680.0
2021-12-31 19:00:00,263424.0
2021-12-31 19:30:00,268800.0
2021-12-31 20:00:00,265216.0
2021-12-31 20:30:00,261632.0
2021-12-31 21:00:00,264192.0
2021-12-31 21:30:00,263680.0
2021-12-31 22:00:00,269312.0
2021-12-31 22:30:00,270592.0
2021-12-31 23:00:00,273664.0
2021-12-31 23:30:00,273472.0
2022-01-01 00:00:00,275968.0
